iter	Passed	Remaining
0	2	290
1	4	232
2	6	211
3	8	199
4	9	189
5	11	180
6	13	174
7	14	169
8	16	163
9	17	156
10	18	150
11	20	147
12	21	142
13	22	138
14	23	132
15	24	126
16	24	121
17	25	115
18	26	111
19	26	107
20	27	103
21	28	99
22	28	96
23	29	93
24	29	89
25	30	86
26	31	84
27	31	81
28	32	79
29	32	76
30	33	74
31	34	72
32	34	70
33	35	68
34	36	67
35	37	66
36	37	64
37	38	62
38	39	61
39	39	59
40	40	58
41	40	56
42	41	54
43	41	53
44	42	51
45	42	50
46	43	49
47	44	47
48	44	46
49	45	45
50	45	44
51	46	42
52	47	41
53	47	40
54	48	39
55	48	38
56	49	37
57	49	36
58	50	35
59	51	34
60	51	33
61	52	32
62	52	31
63	53	30
64	54	29
65	54	28
66	55	27
67	55	26
68	56	25
69	57	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	72	3
96	73	2
97	73	1
98	74	0
99	75	0
